Document ID,Question,Choices,AnswerKey,Correct Answer
doc1,Which of the following is NOT a core component of artificial intelligence?,"['Machine Learning', 'Deep Learning', 'Natural Language Processing', 'Quantum Physics']",D,D
doc2,What is the BEST way to contact the instructor about the IntroAI course?,"['Send a direct Telegram message', 'Email the instructor at m.makhmutov@innopolis.ru with the subject line [IntroAI]', 'Visit the instructor during office hours in office 418', ""Leave a message on the instructor's voicemail""]",B,B
doc3,Who is the TA for the B22-CS-04 group in the Introduction to AI course?,"['Munir Makhmutov', 'Marko Pezer', 'ElDakroury Karim', 'Parth Kalkar', 'Jayveersinh Raj']",B,A
doc4,"According to the course syllabus, how many lab sessions can a student miss without affecting their grade?","['0', '1', '2', '3']",C,C
doc5,"According to the course procedures, which of the following is considered a **legitimate** reason for missing an assignment or test?","['I was working on a project/hackathon for X and didn’t do the work for this class', 'I was sick due to my own hand (i.e. too much parties)', 'My computer broke two weeks ago and I couldn’t work on the assignment', 'I had a family emergency that prevented me from completing the assignment']",D,D
doc6,Which of the following actions is NOT considered academic misconduct?,"[""Using a classmate's notes to study for an exam."", 'Submitting an essay written by a friend for a class assignment.', 'Citing sources correctly in a research paper.', 'Working with a group on a project without proper collaboration guidelines.']",C,C 
doc7,"According to the Innopolis Academic Misconduct Policy, what is the minimum penalty for a student caught plagiarizing for the **first time**?","[""A zero on the assignment and a note in the student's record."", ""A zero on the course and a note in the student's record."", 'Immediate expulsion from the university.', 'A warning and a chance to resubmit the assignment.']",A,A 
doc8,"According to the Innopolis University Introduction to AI 2023 Fall guidelines, which of the following is **NOT** allowed when working on assignments?","['Asking another student to look at your code for a bug, but not having them fix it.', 'Demonstrating to another student the method of solving a problem conceptually.', 'Working with other students in the class to study for a test.', 'Having another student write the solution for you after they have helped you understand the problem.']",D,D 
doc9,Which of the following is NOT a key characteristic of artificial intelligence (AI)?,"['Ability to learn and adapt', 'Capacity for independent thought and creativity', 'Processing and interpreting information', 'Solving complex problems through logical reasoning']",B,B 
doc10,"According to the provided tips for success in an Introduction to AI course, which type of question is most likely to be met with helpful and productive assistance from the TA or professor?","[""I don't know how to do Question X!"", 'I think Question X can be solved by Y method but I cannot see how to make step Z to occur - can you suggest how to accomplish this?', 'Can you just tell me the answer to Question X?', ""I didn't read the syllabus, can you explain the grading policy?""]",B,B 
doc11,"According to the attendance policy, what should students do if they have a legitimate reason for missing class?","['Contact the DoE directly.', 'Submit a written excuse to the lecturer.', 'Inform the DoE and the lecturer via email.', 'There is no requirement to inform anyone.']",C,B 
doc12,Which of the following is NOT a key characteristic of artificial intelligence (AI)?,"['Ability to learn and adapt', 'Ability to perform tasks that typically require human intelligence', 'Requirement for explicit programming for each specific task', 'Potential to augment human capabilities']",C,C 
doc13,What is the primary goal of Artificial Intelligence (AI)?,"['To replace human intelligence entirely.', 'To automate tasks and improve efficiency.', 'To create sentient machines that can think for themselves.', 'To understand and replicate the human brain.']",B,B 
doc14,Which of the following areas of Artificial Intelligence focuses on enabling computers to understand and process human language?,"['Natural Language Processing', 'Knowledge Representation', 'Automated Reasoning', 'Machine Learning']",A,A 
doc15,Which of the following fields is NOT directly related to the field of Artificial Intelligence (AI)?,"['Computational Creativity', 'Biomimicry', 'Innopolis University', 'Machine Learning']",C,C 
doc16,"Based on the provided news headlines, what is a major concern regarding the increasing use of robots in the workplace?","['Robots will become too expensive to maintain.', 'Robots may not be able to perform all tasks effectively.', 'Robots will lead to a significant decrease in human employment.', 'Robots will require extensive training and supervision.']",C,C 
doc17,"According to the Forbes article, what has been the impact of AI on job numbers in companies that have implemented it?","['Jobs have decreased significantly.', 'Jobs have remained relatively stable.', 'Jobs have increased by approximately 15%.', 'The impact on jobs is unclear.']",C,D 
doc18,"According to the text, why is building something, like an AI, important for understanding ourselves?","['To create a tool that can help us solve complex problems.', 'To learn more about the process of building complex systems.', 'To explore the nature of intelligence and rationality.', 'To demonstrate our technological prowess.']",C,C 
doc19,"According to the text, what is the key takeaway about future warfare?","['Future wars will be fought solely in space.', 'Robots will be the primary combatants in future wars.', 'Humans will not be involved in future wars.', 'Future wars will focus on conquering very tall mountains.']",B,B 
doc20,"According to the text, what is the main point about intelligence being situational?","['Intelligence is solely determined by cultural factors.', 'Different situations require different skills and knowledge.', 'People of Indigenous tribes are more intelligent than others.', 'Only people who can ride horses are truly intelligent.']",B,B 
doc21,The text describes the development of self-driving cars as a gradual process. Which of the following is NOT an example of this gradual progression?,"['Powered steering', 'Automatic transmissions', 'Drive-by-wire', 'Special teams of off-board drivers']",D,D 
doc22,"Which of the following AI techniques is best suited for making decisions based on a set of rules and conditions, similar to a flow chart?","['Decision Trees', 'Game Trees', 'Expert Systems', 'Neural Networks']",A,C 
doc23,Which of the following examples best illustrates the concept of bioinspired intelligence as discussed in the text?,"['A robot designed to walk like a human', 'A computer program that learns to play chess by analyzing past games', 'A flock of birds flying in formation', ""A genetic algorithm used to optimize a website's layout""]",C,A 
doc24,Which of the following best exemplifies the concept of 'digital embodiment' in Artificial Intelligence?,"['A self-driving car navigating traffic', 'A chatbot providing customer service', 'A facial recognition system identifying individuals', 'A prosthetic limb controlled by brain signals']",B,D 
doc25,Which of the following mythical figures was NOT created by Hephaestus?,"['Talos', 'Pandora', ""Daedalus's statue"", ""Pygmalion's statue""]",C,C 
doc26,What is the primary difference between Strong AI and Weak AI?,"['Strong AI can perform any intellectual task a human can, while Weak AI is limited to specific tasks.', 'Weak AI is more advanced than Strong AI.', 'Strong AI is used for problem-solving, while Weak AI is used for creative tasks.', 'There is no fundamental difference between Strong AI and Weak AI.']",A,A 
doc27,What is the main question this course is asking students to consider?,"['Will AI make all products obsolete?', 'How will AI impact humanity?', 'What are the different types of artificial intelligence?', 'What is the definition of intelligence?']",B,B 
doc28,"Which of the following is NOT a key characteristic of the 4th Industrial Revolution, often referred to as Industry 4.0?","['Increased automation and robotics', 'Advancements in artificial intelligence (AI)', 'Focus on mass production and standardized processes', 'Integration of physical and digital systems (cyber-physical systems)']",C,C 
doc29,In which country did the researcher start their Ph.D. program?,"['Italy', 'Belgium', 'Netherlands', 'Russia']",A,A
doc30,Which of the following areas is NOT a primary research focus of the individual described in the text?,"['Formal verification', 'Artificial intelligence', 'Model-driven engineering', 'Robot Swarms']",B,A 
doc31,Which of the following is **NOT** a benefit of academic partnerships?,"['Access to specialized resources and expertise', 'Increased funding opportunities', 'Enhanced reputation and visibility', 'Reduced administrative workload']",D,D 
doc32,What is a key advantage of collaborating with startups for industrial projects?,"['Access to cutting-edge technologies and innovative solutions', 'Guaranteed success due to startup agility', 'Lower costs compared to established companies', 'Easy integration with existing industrial processes']",A,A 
doc33,Which of the following is NOT a primary concern about AI potentially taking jobs?,"['AI systems lack creativity and problem-solving abilities', 'AI could lead to job displacement and unemployment', 'AI systems can be biased and perpetuate existing inequalities', 'AI could be used for malicious purposes, such as surveillance or manipulation']",A,A 
doc34,Which of the following best describes the primary function of the circulatory system?,"['To transport oxygen and nutrients throughout the body', 'To regulate body temperature', 'To remove waste products from the body', 'To protect the body from disease']",A,A 
doc35,"According to the video, what is the main reason why it's easier to make a fire with a magnifying glass on a sunny day?","[""The magnifying glass focuses the sun's rays to a smaller area, increasing the heat intensity."", 'The magnifying glass increases the amount of sunlight that reaches the kindling.', 'The magnifying glass makes the kindling more flammable.', 'The magnifying glass creates a vacuum that helps the kindling ignite.']",A,A 
doc36,Which of the following is NOT a potential consequence of the 4th Industrial Revolution?,"['Increased global interconnectedness', 'Greater economic equality', 'Job displacement due to automation', 'Rise of new industries and skill demands']",B,B 
doc37,"According to the text, what do journalists and commentators often do when discussing automation and its impact on jobs?","['They accurately portray the extent of machine substitution for human labor.', 'They overemphasize the negative effects of automation on employment.', 'They highlight the positive complementarities between automation and labor.', 'They focus on the decline in productivity due to automation.']",B,B 
doc38,"The phrase ""Have we been here before?"" most likely suggests a feeling of:","['Excitement', 'Familiarity', 'Fear', 'Confusion']",B,B 
doc39,The Luddite movement of the early 19th century was primarily motivated by:,"['A desire to improve working conditions in factories.', 'Fear of losing their jobs due to automation.', 'A belief that machines were morally corrupt.', 'A protest against the rising cost of textiles.']",B,B 
doc40,"What was the main conclusion of the Blue-Ribbon National Commission on Technology, Automation, and Economic Progress in the 1960s?","['Technological advancements would lead to widespread unemployment.', 'Automation would have minimal impact on jobs and living standards.', 'Technology would create new jobs to replace those lost to automation.', 'The commission was unable to reach a definitive conclusion.']",B,A 
doc41,The text states that the advancement of automation and technology over the past two centuries has not resulted in what outcome?,"['Increased productivity', 'Creation of new jobs', 'The obsolescence of human labor', 'Economic growth']",C,C 
doc42,The article suggests that climate change is a complex issue. Which aspect is NOT mentioned as a factor contributing to its complexity?,"['The interconnectedness of different environmental systems', 'The difficulty in predicting future climate impacts', 'The ethical considerations surrounding climate action', 'The lack of scientific consensus on the existence of climate change']",D,D 
doc43,"According to the provided information, what percentage of U.S. jobs are potentially at risk from automation?","['16%', '47%', '53%', '84%']",B,D
doc44,"According to Autor et al. (2003), how are workplace tasks categorized?","['By their complexity and required skill level.', 'By their level of automation and human interaction.', 'By their routine versus non-routine nature and manual versus cognitive requirements.', 'By their impact on productivity and profitability.']",C,C 
doc45,"Which statement BEST describes the relationship between automation and human labor, as presented in the text?","['Automation completely replaces human labor in most jobs.', 'Automation always leads to job losses, regardless of the task.', 'Automation can substitute for some tasks, but often complements human labor.', 'Automation only benefits jobs that involve physically difficult or mundane tasks.']",C,C 
doc46,"Historically, how has automation primarily impacted the workforce?","['Increased unemployment and reduced wages.', 'Reduced the need for skilled labor and increased reliance on automation.', 'Increased worker productivity and enabled a shift to higher-skilled jobs.', 'Led to a decline in the standard of living due to job displacement.']",C,C 
doc47,"Based on the text, what is the primary impact of automation on employment over time?","['Automation leads to a decrease in the number of available jobs.', 'Automation creates new job opportunities in the automated sector.', 'Automation shifts workers from physically demanding jobs to more skilled roles.', 'Automation has no significant impact on employment patterns.']",C,A 
doc48,Which of the following is NOT a primary function of the respiratory system?,"['To exchange oxygen and carbon dioxide', 'To filter and warm inhaled air', 'To produce hormones that regulate blood pressure', 'To protect the body from foreign invaders']",C,C 
doc49,Which of the following is NOT a benefit of using a credit card?,"['Building credit history', 'Convenience for purchases', 'Protection against fraud', 'Guaranteed low interest rates']",D,D 
doc50,Which of the following materials would heat up the fastest when exposed to sunlight?,"['A black metal sheet', 'A white plastic sheet', 'A clear glass sheet', 'A wooden plank']",A,A 
doc51,Which of the following materials will heat up the fastest when exposed to the sun?,"['Black asphalt', 'White sand', 'Clear glass', 'Silver metal']",A,A 
doc52,"According to the text, which groups of workers were most negatively impacted by recent economic changes?","['Highly educated professionals in technology and finance.', 'Men with low levels of education in blue-collar jobs and women with intermediate levels of education in clerical roles.', 'Individuals with advanced degrees in STEM fields.', 'People working in the service sector, such as retail and hospitality.']",B,B 
doc53,A scientist is studying the rate of evaporation of different liquids. Which of the following liquids will evaporate the fastest at room temperature?,"['Water', 'Ethanol', 'Mercury', 'Olive Oil']",B,B 
doc54,Which of the following is NOT a characteristic of a good scientific model?,"['It accurately represents the real-world phenomenon.', 'It is simple enough to understand and use.', 'It makes predictions that can be tested.', 'It perfectly replicates the real world in all its complexities.']",D,D 
doc55,Which of the following statements BEST describes the impact of current technologies on labor?,"['Machines are completely replacing humans in all tasks, leading to widespread unemployment.', 'Technology primarily focuses on automating routine tasks, leaving non-routine tasks to humans.', 'Technology is rapidly replacing all human jobs, regardless of skill level or context.', 'Machines are now capable of performing both routine and non-routine tasks, but their adoption is gradual and context-dependent.']",D,B 
doc56,A company wants to improve the efficiency of its employees by providing them with a comfortable and functional workspace. Which of the following factors would LEAST contribute to employee efficiency?,"['Adequate lighting for all work areas', 'Ergonomically designed chairs and desks', 'Limited access to natural light', 'Temperature control systems for optimal comfort']",C,C 
doc57,Which of the following is NOT a common strategy for mitigating the negative effects of technological change?,"['Investing in education and retraining programs', 'Promoting innovation and entrepreneurship', 'Encouraging the use of technology for social good', 'Resisting technological advancements to preserve traditional practices']",D,D 
doc58,Which of the following is NOT a strategy to mitigate the negative effects of technological change?,"['Investing in education and training to adapt to new skills demands', 'Promoting policies that support job creation in emerging sectors', 'Focusing solely on maximizing economic growth without considering social impacts', 'Establishing safety nets and social programs to help those displaced by technological change']",C,C 
doc59,Which of the following is NOT a key government policy approach to promote labor market flexibility and mobility?,"['Policies that encourage employee loyalty and long-term employment', 'Policies that will facilitate labor market flexibility and mobility', 'Policies that introduce and strengthen safety nets and social protection', 'Improved education and training processes']",A,A 
doc60,Which of the following is NOT a key area of focus for effective company transformation?,"['Implementing new technologies', 'Optimizing the production process', 'Developing marketing strategies', 'Training and upskilling employees']",C,C 
doc61,What is the primary goal of Amazon's $700 million retraining initiative?,"['To reduce employee turnover by offering career advancement opportunities.', 'To prepare employees for upcoming technological changes in the workplace.', 'To improve employee morale and job satisfaction.', 'To comply with government regulations regarding employee training.']",B,A 
doc62,Imagine you're trying to explain to someone why it's important to have a variety of perspectives in decision-making. Which of the following arguments would be the most compelling?,"['Having different perspectives allows you to see the same problem from multiple angles, leading to more comprehensive solutions.', 'People with different perspectives are more likely to be creative and come up with unique ideas.', 'Decision-making processes are more efficient when everyone agrees on the same perspective.', 'Having different perspectives can lead to arguments and conflict, which can be beneficial in the long run.']",A,A 
doc63,Which of the following best describes the main focus of the articles mentioned?,"['The negative impacts of automation on employment.', 'The inevitability of robots replacing all human jobs.', 'The potential for automation to create new jobs and opportunities.', 'The need for government intervention to regulate automation.']",C,C 
doc64,Which of the following is NOT a key characteristic of Artificial Intelligence (AI)?,"['Ability to learn and adapt', 'Requirement of explicit programming for every task', 'Capacity for problem-solving', 'Potential for human-like decision-making']",B,B 
doc65,What is the core concept of Artificial Intelligence (AI)?,"['Developing machines that can perform specific tasks better than humans', 'Creating machines that can think and act like humans', 'Building machines that can learn and adapt autonomously', 'Simulating human emotions and consciousness in machines']",C,C 
doc66,"According to the text, what are the three components that contribute to knowledge?","['Truth, Belief, Justification', 'Reality, Perception, Explanation', 'Logic, Discourse, Evidence', 'Understanding, Acceptance, Proof']",A,A 
doc67,"In the Gettier case scenario, what makes Smith's belief about the person with 10 coins getting the job a 'justified true belief' but NOT knowledge?","[""Smith's belief was based on accurate information about Jones, but ultimately proved wrong."", ""Smith's belief was based on a lucky coincidence, not on a true understanding of the situation."", ""Smith's belief was justified because he had evidence, but that evidence did not directly lead to the correct conclusion."", ""Smith's belief was true, but he didn't have any evidence to support it.""]",C,C 
doc68,Which of these achievements was NOT directly related to Alan Turing's work at Bletchley Park during World War II?,"['Developing the Bombe decoder', 'Developing the Universal Turing Machine', 'The Applications of Probability to Cryptography', 'The Paper on Statistics of Repetitions']",B,B 
doc69,"The Turing Test, published in 1952, aims to determine if a computer can exhibit intelligent behavior indistinguishable from a human.  What is the key element of this test?","[""Evaluating the computer's ability to solve complex mathematical problems."", ""Assessing the computer's capacity for emotional expression."", 'Determining if an interrogator can distinguish between a human and a computer in a conversation.', ""Measuring the computer's speed and efficiency in processing information.""]",C,C 
doc70,What is the primary purpose of CAPTCHA?,"['To improve the accuracy of optical character recognition (OCR)', 'To prevent automated bots from accessing websites', 'To generate random codes for account authentication', 'To gather user data for targeted advertising']",B,B 
doc71,Which of the following AI capabilities is NOT directly related to how computers process and understand images?,"['Image Recognition', 'Segmentation', 'Detection', 'Conceptualization', 'Verbalization']",E,D 
